"","AETdiff","AMK","GEN","TOB","CIP","LEV","COL","ATM","CAZ","FEP","MEM","IPM","TZP"
"84","0","8","4","1","0.25","1","2","8","4","4","0.0625","1","8"
"85","0","8","4","1","0.25","1","1","8","4","4","0.125","1","8"
"86","0","8","4","1","0.25","1","2","8","4","4","0.125","1","8"
"87","0","8","4","1","0.25","1","2","8","4","4","1","1","8"
"88","0","4","2","1","0.25","1","2","8","8","4","0.0625","1","8"
"89","0","0.5","0.125","0.125","0.0625","0.25","1","8","4","1","1","4","8"
"90","0","0.5","0.5","0.125","0.0625","0.25","1","8","4","2","1","4","4"
"91","0","0.25","0.0625","0.0625","0.125","0.5","1","8","2","2","0.5","2","4"
"92","0","0.5","0.125","0.125","0.0312","0.0312","1","2","2","0.5","0.5","2","2"
"93","0","0.25","0.0625","0.0625","0.0312","0.0625","1","1","1","0.5","0.25","2","4"
"94","0","0.5","0.125","0.0625","0.0312","0.125","1","1","2","0.5","0.25","4","1"
"95","0","0.25","0.125","0.125","0.25","0.125","2","2","2","0.5","0.25","4","2"
"96","0","0.5","0.25","0.25","0.0625","0.5","1","8","4","2","2","4","8"
"97","0","4","2","0.5","0.125","0.5","4","8","4","4","0.5","4","8"
"98","2","8","8","1","1","4","1","8","4","4","0.5","4","8"
"99","2","16","8","1","2","4","1","8","4","4","1","4","8"
"100","2","16","8","2","1","4","1","8","4","4","0.5","2","4"
"101","2","8","8","1","1","4","1","8","4","4","0.5","2","4"
"102","2","8","4","1","1","2","0.5","4","2","2","0.5","2","4"
"103","2","8","8","1","2","4","1","4","4","4","2","2","8"
"104","2","16","8","2","0.5","0.5","1","8","4","2","0.5","2","8"
"105","2","16","8","1","0.125","0.5","1","16","8","4","0.5","4","8"
"106","2","16","8","1","0.25","0.5","1","16","4","2","0.5","2","8"
"107","2","8","4","1","0.125","0.5","2","8","64","16","0.5","2","32"
"108","2","8","4","1","0.25","0.5","4","8","64","32","0.5","2","64"
"109","2","8","4","1","0.25","0.5","4","64","128","128","1","2","256"
"110","2","8","4","1","0.25","0.5","0.5","32","128","64","0.5","2","128"
"111","2","4","4","1","0.25","1","2","16","4","2","0.5","1","8"
"112","2","8","4","1","0.25","0.5","4","32","128","64","0.5","1","128"
"113","2","64","8","2","0.0312","0.0312","128","0.5","0.125","0.0625","0.0312","0.0312","0.25"
"114","2","128","64","16","0.125","0.5","1","8","4","4","0.5","2","8"
"115","2","128","32","16","0.125","0.5","1","8","4","4","0.5","2","8"
"116","2","128","64","16","0.25","1","1","8","4","4","0.5","2","8"
"117","2","128","64","16","0.25","0.5","1","8","4","8","1","2","8"
"118","2","256","64","32","0.25","0.5","1","256","256","32","2","2","256"
"119","2","4","2","1","0.125","0.5","0.5","8","4","2","1","2","8"
"120","2","16","4","1","0.25","0.5","1","8","4","2","1","2","8"
"121","2","4","2","0.5","0.125","0.5","1","16","4","2","0.5","2","8"
"122","1","4","2","2","0.125","0.5","0.5","8","4","2","1","1","8"
"123","2","4","4","1","0.25","0.5","4","8","4","2","0.0625","1","8"
"124","2","8","4","1","8","0.5","1","8","4","2","0.125","0.5","8"
"125","2","8","4","1","0.125","0.5","0.5","8","4","2","0.0625","0.5","8"
"126","2","16","8","2","1","2","1","32","8","16","0.25","2","16"
"127","2","16","8","2","1","2","1","16","8","16","0.25","2","64"
"128","2","16","8","2","1","2","1","16","8","16","0.25","2","16"
"129","2","16","8","2","1","2","1","16","8","16","0.25","2","16"
"130","2","16","8","2","0.5","2","1","16","8","8","0.125","1","8"
"131","2","8","8","2","0.5","2","1","8","8","16","0.25","1","8"
"132","2","16","8","2","0.5","2","1","16","32","8","0.25","2","16"
"133","2","16","8","1","0.5","1","1","8","16","16","0.125","1","32"
"134","2","8","8","1","0.5","2","0.5","8","4","16","0.125","1","8"
"135","2","4","4","1","0.25","0.5","2","8","4","2","0.5","1","4"
"136","2","8","4","1","0.125","0.5","2","8","4","2","0.5","1","4"
"137","2","4","8","2","0.25","1","1","8","4","4","0.125","1","8"
"138","2","8","4","1","0.25","1","1","8","4","4","0.125","1","8"
"139","2","4","4","1","0.25","1","1","8","4","2","0.125","4","8"
"140","2","4","4","1","0.125","1","0.5","8","4","2","0.0625","1","4"
"141","2","16","8","1","0.5","2","0.5","8","2","8","0.25","2","8"
"142","2","8","8","0.5","0.5","2","0.5","8","4","8","0.5","1","8"
"143","2","16","8","2","0.5","2","1","8","2","8","0.5","2","8"
"144","2","16","8","1","0.5","2","0.5","8","4","8","2","2","8"
"145","2","16","8","2","0.5","2","0.5","8","4","8","0.5","1","8"
"146","2","16","8","1","0.5","2","2","8","4","8","0.5","1","2"
"147","2","4","4","1","0.25","1","2","8","4","4","0.5","2","8"
"148","2","4","4","0.5","0.5","1","2","8","8","4","0.5","2","8"
"149","2","4","4","1","0.25","1","2","8","4","2","0.5","2","8"
"150","2","8","4","1","0.25","1","4","16","4","4","0.5","2","4"
"151","2","8","4","1","0.25","1","2","8","4","4","0.5","2","8"
"152","2","4","4","1","0.25","1","1","8","4","2","0.5","2","8"
"153","2","8","8","2","0.5","1","0.5","8","16","8","0.5","2","16"
"154","2","8","8","2","0.5","2","0.5","8","4","8","1","2","4"
"155","2","8","4","1","0.25","0.5","1","8","4","2","0.5","2","8"
"156","2","16","256","256","2","4","0.25","16","256","32","16","16","64"
"157","2","16","256","128","2","4","0.25","16","256","32","16","16","64"
"158","2","16","256","128","2","4","0.25","16","256","32","16","16","64"
"159","0","4","1","0.5","0.125","0.5","2","8","4","4","0.5","2","8"
"160","0","4","2","0.25","0.125","1","4","8","4","2","0.5","2","4"
"161","1","8","8","2","0.25","0.5","1","8","4","2","0.5","1","16"
"162","0","2","2","0.5","0.125","0.5","2","2","4","4","0.5","1","4"
"163","1","8","4","1","0.125","0.5","1","4","4","4","0.25","1","8"
"164","0","2","2","0.25","0.125","0.25","0.25","8","4","2","0.25","1","4"
"165","0","2","1","0.5","0.125","0.5","0.25","8","2","2","0.25","1","4"
"166","1","4","4","0.5","0.125","0.5","0.5","8","4","2","0.25","1","4"
"167","0","4","2","0.5","0.125","0.5","0.5","8","4","4","0.5","1","8"
"168","0","4","2","0.5","0.125","0.5","0.5","8","4","4","0.5","2","8"
"169","1","8","4","1","0.125","0.5","1","8","4","2","0.125","1","8"
"170","0","4","2","0.5","0.25","0.5","0.5","8","4","4","2","2","8"
