"","AETdiff","AMK","GEN","TOB","CIP","LEV","COL","ATM","CAZ","FEP","MEM","IPM","TZP"
"374","1","8","4","2","0.125","0.125","2","8","8","4","0.5","2","16"
"375","1","1","1","0.25","0.125","0.5","1","8","4","4","0.5","2","8"
"376","1","16","4","1","0.0312","0.125","0.5","8","8","4","0.25","2","16"
"377","2","8","8","1","0.25","1","2","16","64","4","0.25","1","32"
"378","0","8","4","0.5","0.5","1","1","8","2","2","0.125","1","4"
"379","0","4","4","1","0.25","1","1","8","2","2","0.125","1","4"
"380","0","8","2","0.5","0.25","1","4","256","256","32","0.125","2","4"
"381","0","4","4","1","0.125","0.5","2","8","2","2","0.25","1","4"
"382","0","4","4","0.5","0.125","0.5","2","4","2","4","0.125","1","4"
"383","0","4","2","0.5","0.25","0.5","1","4","2","1","0.0625","1","4"
"384","0","8","2","2","0.25","1","2","32","8","4","0.25","4","16"
"385","0","8","4","1","0.25","1","2","16","4","8","0.5","2","8"
"386","1","4","8","2","0.25","1","2","16","8","8","0.5","2","16"
"387","1","4","2","0.5","0.125","0.25","1","8","4","2","0.25","1","4"
"388","1","8","4","1","0.5","0.5","1","8","4","2","0.25","1","8"
"389","1","8","2","0.5","1","1","1","16","4","4","0.125","0.125","4"
"390","1","8","4","0.5","0.5","1","1","8","8","2","0.25","1","8"
"391","1","4","4","1","0.25","1","1","4","8","2","0.25","1","8"
"392","1","2","4","0.25","0.5","0.25","1","2","8","0.5","0.5","0.25","8"
"393","1","8","4","1","1","1","1","2","8","2","1","1","8"
"394","0","4","2","0.5","0.125","0.25","4","8","4","2","0.0625","1","4"
"395","0","4","2","0.5","0.0625","0.25","2","8","4","2","0.0625","1","4"
"396","0","4","2","0.5","0.0625","0.25","2","8","4","2","0.0625","1","4"
"397","0","2","2","0.5","0.0625","0.25","0.5","4","2","1","0.125","1","2"
"398","0","4","2","0.5","0.0625","0.25","0.25","4","2","1","0.125","1","4"
"399","0","4","1","0.5","0.125","0.25","0.125","4","2","1","0.125","1","4"
"400","0","2","2","0.5","0.125","0.25","0.25","4","4","1","0.25","1","4"
"401","0","2","1","0.5","0.0625","0.25","0.125","4","2","1","0.125","0.5","4"
"402","1","4","2","0.5","1","0.5","1","8","4","4","0.125","1","4"
"403","1","4","2","0.5","0.125","0.5","1","8","4","4","0.125","1","4"
"404","1","4","2","0.5","0.125","0.5","0.5","8","4","2","0.125","1","4"
"405","1","4","4","0.5","0.25","0.5","1","8","4","2","0.25","1","4"
"406","1","4","2","0.5","0.25","0.5","1","16","4","2","0.125","1","4"
"407","1","4","2","0.5","0.25","0.5","1","8","4","2","0.125","0.5","4"
"408","1","4","4","0.5","0.25","0.5","2","8","4","2","0.25","1","8"
"409","1","4","2","0.5","0.25","0.5","1","8","4","2","0.125","1","8"
"410","1","4","2","0.5","0.25","0.5","1","8","4","2","1","2","4"
"411","0","32","8","2","0.5","2","0.25","8","8","16","2","16","8"
"412","0","16","8","1","1","2","0.5","32","8","16","8","32","16"
"413","0","8","4","1","0.5","2","0.5","16","4","8","4","16","16"
"414","0","16","8","1","1","2","0.5","32","8","8","8","32","16"
"415","0","8","4","1","0.5","2","0.5","0.5","2","8","0.5","16","0.5"
"416","0","2","2","0.5","0.125","0.25","1","4","2","1","0.5","1","4"
"417","0","4","2","1","0.125","0.25","0.5","8","2","2","0.125","1","8"
"418","0","4","2","1","0.125","0.5","0.5","4","2","2","0.0625","1","4"
"419","0","4","4","1","0.25","0.5","0.5","4","4","1","0.0625","0.5","8"
"420","0","4","2","1","0.0625","0.25","0.25","8","2","1","0.125","0.5","4"
"421","0","4","4","1","0.125","0.5","2","4","2","1","0.0625","1","8"
"422","0","4","4","0.5","0.25","1","1","4","2","2","0.0625","0.5","4"
"423","0","4","4","0.5","0.125","0.5","1","4","2","1","0.0312","0.5","4"
"424","0","16","8","2","0.5","1","2","0.125","0.5","2","0.0312","0.25","0.25"
"425","0","16","8","2","0.5","1","2","0.25","0.5","2","0.0312","0.5","0.25"
"426","0","16","8","2","0.5","1","1","0.125","0.5","2","0.0312","0.25","0.25"
"427","0","8","8","4","0.5","1","1","0.125","0.5","2","0.0312","0.25","0.25"
"428","1","16","8","1","0.5","1","1","0.125","0.5","2","0.0312","0.5","0.25"
"429","1","8","8","0.5","0.5","1","1","0.125","0.5","2","0.0312","0.25","0.25"
"430","1","16","8","2","0.5","1","1","0.125","0.5","2","0.0312","0.5","0.25"
"431","1","8","8","1","0.5","1","1","0.125","0.5","2","0.0312","0.25","0.25"
"432","1","16","8","2","0.5","1","1","0.125","0.5","2","0.0312","0.5","0.25"
"433","1","8","8","1","0.5","1","1","0.125","0.5","2","0.0312","0.25","0.25"
"434","1","8","8","1","0.5","1","0.5","0.125","0.5","2","0.0312","0.25","0.25"
"435","0","2","1","0.25","0.25","0.5","0.5","8","4","2","0.25","2","4"
"436","0","2","2","0.25","0.25","0.5","0.5","8","4","2","0.5","4","8"
"437","0","2","2","0.25","0.25","0.5","0.5","8","2","2","0.5","4","8"
"438","1","8","4","1","0.25","1","2","8","4","8","0.125","1","4"
"439","1","8","4","1","0.25","1","0.5","4","2","4","0.125","1","8"
"440","1","8","4","1","0.25","0.5","2","4","2","8","0.5","1","4"
"441","1","16","8","2","0.0625","0.25","0.5","0.5","2","4","0.0625","1","0.5"
"442","1","16","8","2","0.0625","0.125","0.5","0.5","1","4","0.0625","1","0.25"
"443","1","32","16","4","0.0625","0.125","0.5","0.5","2","4","0.0312","0.5","0.5"
"444","1","32","8","2","0.0625","0.125","0.25","0.5","1","4","0.0625","1","0.5"
"445","0","8","4","4","0.125","0.25","0.5","4","2","1","1","4","4"
"446","0","8","4","1","0.125","0.5","0.5","8","2","2","1","4","4"
"447","0","8","4","1","0.5","0.5","1","8","2","2","1","4","4"
"448","0","8","4","1","0.25","0.5","0.5","8","4","2","1","4","8"
"449","0","16","2","1","0.25","0.5","0.5","8","2","2","2","4","4"
"450","0","8","4","2","0.25","1","0.5","8","4","2","2","4","8"
"451","0","8","8","1","0.125","0.5","0.5","16","4","2","1","4","4"
"452","0","8","4","1","0.25","0.5","0.5","8","4","2","1","4","8"
"453","0","8","4","2","0.25","0.5","1","8","4","2","2","4","8"
"454","0","8","2","1","0.125","1","2","8","4","4","0.25","1","4"
"455","0","4","2","0.5","0.125","0.25","0.5","4","4","4","0.125","1","4"
"456","0","4","2","1","0.25","0.5","2","8","4","2","0.25","1","4"
"457","0","8","4","0.5","0.25","0.5","4","8","4","2","0.125","4","4"
"458","0","4","16","1","0.25","0.5","2","16","4","4","0.25","2","8"
"459","0","8","2","1","0.125","0.25","1","4","4","2","0.25","1","4"
"460","0","4","2","1","0.0312","0.5","1","8","4","2","0.125","1","8"
"461","0","4","2","0.5","0.0625","0.25","1","4","2","2","0.125","1","4"
"462","0","4","2","0.5","0.25","1","0.5","8","4","4","0.125","1","4"
"463","0","4","4","1","0.125","0.25","0.5","8","4","2","0.5","2","4"
"464","0","8","4","1","0.125","0.5","2","8","8","2","0.5","2","8"
"465","0","4","2","0.5","0.125","0.25","1","8","4","1","0.125","1","4"
"466","0","4","4","1","0.25","1","2","8","4","4","0.25","1","8"
"467","0","8","8","1","0.25","0.5","1","4","4","4","0.5","1","8"
"468","0","4","4","1","0.5","0.25","1","16","2","2","0.125","1","4"
"469","0","1","2","0.5","0.125","0.5","1","4","4","2","0.125","1","4"
"470","0","4","2","0.5","0.125","0.5","0.5","8","4","2","0.125","1","4"
"471","0","8","4","1","0.25","0.5","4","8","4","2","0.125","1","8"
"472","0","8","4","0.5","0.25","0.5","2","4","4","2","0.0625","0.5","8"
"473","0","8","4","2","0.25","0.5","4","4","4","4","0.125","0.5","8"
"474","0","4","2","1","0.125","0.5","4","4","4","4","0.0625","0.5","8"
"475","0","8","4","1","0.125","0.25","2","8","4","4","0.125","0.5","4"
"476","0","4","4","1","0.125","0.5","1","4","4","4","0.25","2","8"
"477","0","4","2","0.5","0.5","0.5","4","8","4","2","0.0625","0.5","8"
"478","0","4","4","0.5","0.125","0.5","0.5","4","4","4","0.25","2","8"
